,MturkId,Userid,EmailId,TrainingPeriod,Trial,Condition,Decision,EmailType,Action,Confidence,ReactionTime,Correct
152,AWWR9PY50W0Z9,638049002,637,preTraining,7,GPT-GPT,false,phishing,3,3,20321,0
153,AIQM86IRETAJN,294224885,748,Training,33,Human-Plain,true,phishing,3,4,861,1
154,A3KF6O09H04SP7,467168543,1296,postTraining,3,Human-Plain,false,ham,2,3,18957,1
155,A1CC1ESUM2JWJ2,740438790,992,Training,31,Human-Plain,false,ham,4,4,2188,1
156,A1YZ0ETOCJO1B2,864832498,1133,preTraining,2,GPT-GPT,false,ham,4,4,70571,1
157,AIQM86IRETAJN,294224885,543,Training,34,Human-Plain,true,phishing,4,2,1048,1
158,AIQM86IRETAJN,294224885,555,Training,35,Human-Plain,true,phishing,2,1,1296,1
159,A1CC1ESUM2JWJ2,740438790,1040,Training,32,Human-Plain,false,ham,4,1,2582,1
160,AIQM86IRETAJN,294224885,1384,Training,36,Human-Plain,true,ham,2,1,1202,0
161,AIQM86IRETAJN,294224885,436,Training,37,Human-Plain,false,phishing,3,2,753,0
162,AWWR9PY50W0Z9,638049002,865,preTraining,8,GPT-GPT,true,ham,3,4,22274,0
163,AIQM86IRETAJN,294224885,1272,Training,38,Human-Plain,false,ham,3,2,1136,1
164,A3KF6O09H04SP7,467168543,1388,postTraining,4,Human-Plain,false,ham,0,2,14127,1
165,A1CC1ESUM2JWJ2,740438790,336,Training,33,Human-Plain,false,phishing,4,0,1928,0
166,AWWR9PY50W0Z9,638049002,965,preTraining,9,GPT-GPT,true,ham,2,4,30424,0
167,A1AYQ8E01NSY5Z,140544808,725,Training,2,GPT-GPT,true,phishing,4,5,42475,1
168,A3KF6O09H04SP7,467168543,408,postTraining,5,Human-Plain,true,phishing,3,5,27070,1
169,A1CC1ESUM2JWJ2,740438790,884,Training,34,Human-Plain,true,ham,4,4,2802,0
170,A3KF6O09H04SP7,467168543,944,postTraining,6,Human-Plain,true,ham,3,5,13796,0
171,AWWR9PY50W0Z9,638049002,1449,preTraining,10,GPT-GPT,false,ham,2,3,15731,1
172,A1CC1ESUM2JWJ2,740438790,388,Training,35,Human-Plain,true,phishing,4,4,1915,1
173,A1YZ0ETOCJO1B2,864832498,649,preTraining,3,GPT-GPT,true,phishing,4,3,34628,1
174,A1CC1ESUM2JWJ2,740438790,652,Training,36,Human-Plain,true,phishing,4,3,2353,1
175,A3KF6O09H04SP7,467168543,928,postTraining,7,Human-Plain,true,ham,0,2,10887,0
176,A1CC1ESUM2JWJ2,740438790,1132,Training,37,Human-Plain,false,ham,4,3,2583,1
177,A3KF6O09H04SP7,467168543,424,postTraining,8,Human-Plain,true,phishing,3,5,16124,1
178,A1AYQ8E01NSY5Z,140544808,909,Training,3,GPT-GPT,false,ham,3,1,10037,1
179,A1YZ0ETOCJO1B2,864832498,608,preTraining,4,GPT-GPT,true,phishing,3,3,53309,1
180,A1CC1ESUM2JWJ2,740438790,1020,Training,38,Human-Plain,false,ham,4,4,2217,1
181,AWWR9PY50W0Z9,638049002,540,Training,1,GPT-GPT,false,phishing,2,4,5008,0
182,A3KF6O09H04SP7,467168543,244,postTraining,9,Human-Plain,true,phishing,4,5,17588,1
183,A1CC1ESUM2JWJ2,740438790,848,Training,39,Human-Plain,false,ham,4,1,2527,1
184,A1YZ0ETOCJO1B2,864832498,1445,preTraining,5,GPT-GPT,false,ham,3,4,35341,1
185,A1CC1ESUM2JWJ2,740438790,692,Training,40,Human-Plain,true,phishing,4,3,3890,1
186,A1AYQ8E01NSY5Z,140544808,496,Training,4,GPT-GPT,true,phishing,4,5,5477,1
187,AWWR9PY50W0Z9,638049002,357,Training,2,GPT-GPT,false,phishing,3,4,12659,0
188,A3KF6O09H04SP7,467168543,1288,postTraining,10,Human-Plain,false,ham,1,3,15276,1
189,A1CC1ESUM2JWJ2,740438790,72,postTraining,1,Human-Plain,true,phishing,4,3,1951,1
190,AWWR9PY50W0Z9,638049002,913,Training,3,GPT-GPT,true,ham,3,4,5445,0
191,A1CC1ESUM2JWJ2,740438790,1216,postTraining,2,Human-Plain,false,ham,4,1,8495,1
192,A1AYQ8E01NSY5Z,140544808,993,Training,5,GPT-GPT,false,ham,4,1,5353,1
193,A1CC1ESUM2JWJ2,740438790,1428,postTraining,3,Human-Plain,false,ham,4,1,10485,1
194,A1CC1ESUM2JWJ2,740438790,1104,postTraining,4,Human-Plain,false,ham,4,0,9372,1
195,AWWR9PY50W0Z9,638049002,1009,Training,4,GPT-GPT,true,ham,3,4,8438,0
196,A1CC1ESUM2JWJ2,740438790,844,postTraining,5,Human-Plain,false,ham,4,4,7359,1
