,MturkId,Userid,EmailId,TrainingPeriod,Trial,Condition,Decision,EmailType,Action,Confidence,ReactionTime,Correct
360,A1YZ0ETOCJO1B2,864832498,245,Training,22,GPT-GPT,true,phishing,4,4,1999,1
361,AIQM86IRETAJN,294224885,940,postTraining,4,Human-Plain,true,ham,3,1,2792,0
362,A3AY0315YWWNXY,625337184,0,preTraining,3,Human-Plain,true,phishing,4,5,48626,1
363,AIQM86IRETAJN,294224885,1092,postTraining,5,Human-Plain,false,ham,2,1,7836,1
364,A1AYQ8E01NSY5Z,140544808,281,Training,25,GPT-GPT,true,phishing,4,2,3014,1
365,AIQM86IRETAJN,294224885,535,postTraining,6,Human-Plain,true,phishing,2,5,1957,1
366,AIQM86IRETAJN,294224885,539,postTraining,7,Human-Plain,true,phishing,3,1,3487,1
367,AIQM86IRETAJN,294224885,1184,postTraining,8,Human-Plain,false,ham,2,2,3612,1
368,AIQM86IRETAJN,294224885,595,postTraining,9,Human-Plain,true,phishing,2,2,2016,1
369,AIQM86IRETAJN,294224885,888,postTraining,10,Human-Plain,false,ham,2,2,3265,1
370,A1YZ0ETOCJO1B2,864832498,913,Training,23,GPT-GPT,false,ham,4,4,1838,1
371,A1AYQ8E01NSY5Z,140544808,145,Training,26,GPT-GPT,false,phishing,4,2,2380,0
372,A3AY0315YWWNXY,625337184,368,preTraining,4,Human-Plain,true,phishing,4,4,11823,1
373,A1YZ0ETOCJO1B2,864832498,725,Training,24,GPT-GPT,true,phishing,4,4,1391,1
374,A3AY0315YWWNXY,625337184,1448,preTraining,5,Human-Plain,false,ham,2,0,28998,1
375,A1AYQ8E01NSY5Z,140544808,1377,Training,27,GPT-GPT,false,ham,4,2,16620,1
376,A1YZ0ETOCJO1B2,864832498,1093,Training,25,GPT-GPT,false,ham,4,2,1922,1
377,A3AY0315YWWNXY,625337184,92,preTraining,6,Human-Plain,true,phishing,4,5,25020,1
378,A1YZ0ETOCJO1B2,864832498,57,Training,26,GPT-GPT,true,phishing,4,3,2222,1
379,A1AYQ8E01NSY5Z,140544808,785,Training,28,GPT-GPT,false,ham,3,2,2796,1
