UserId,Experiment,ExperimentCondition,EmailId,PhaseTrial,Decision,EmailType,PhaseValue,Confidence,EmailAction,ReactionTime,Correct
416361962,1,GPT-4 Written GPT-4 Styled,528.0,5,true,phishing,postTraining,4,5,12428,1
416361962,1,GPT-4 Written GPT-4 Styled,536.0,4,true,phishing,postTraining,4,5,12631,1
416361962,1,GPT-4 Written GPT-4 Styled,105.0,3,true,phishing,postTraining,4,5,12000,1
293449694,1,GPT-4 Written Plain Styled,270.0,6,true,phishing,postTraining,4,5,18740,1
416361962,1,GPT-4 Written GPT-4 Styled,53.0,2,true,phishing,postTraining,4,5,58452,1
293449694,1,GPT-4 Written Plain Styled,1402.0,5,true,ham,postTraining,4,5,19740,0
416361962,1,GPT-4 Written GPT-4 Styled,1109.0,1,false,ham,postTraining,4,4,82577,1
293449694,1,GPT-4 Written Plain Styled,790.0,4,true,ham,postTraining,3,5,18168,0
293449694,1,GPT-4 Written Plain Styled,894.0,3,false,ham,postTraining,3,2,26434,1
293449694,1,GPT-4 Written Plain Styled,1326.0,2,false,ham,postTraining,3,2,22253,1
293449694,1,GPT-4 Written Plain Styled,90.0,1,true,phishing,postTraining,3,5,7868,1
293449694,1,GPT-4 Written Plain Styled,1014.0,40,false,ham,Training,4,2,16422,1
293449694,1,GPT-4 Written Plain Styled,774.0,39,false,ham,Training,3,0,16049,1
416361962,1,GPT-4 Written GPT-4 Styled,1121.0,40,false,ham,Training,4,4,59974,1
293449694,1,GPT-4 Written Plain Styled,902.0,38,false,ham,Training,3,2,21048,1
293449694,1,GPT-4 Written Plain Styled,346.0,37,true,phishing,Training,4,5,8926,1
293449694,1,GPT-4 Written Plain Styled,1210.0,36,true,ham,Training,3,5,8209,0
293449694,1,GPT-4 Written Plain Styled,1186.0,35,true,ham,Training,2,5,9620,0
416361962,1,GPT-4 Written GPT-4 Styled,793.0,39,false,ham,Training,4,4,16685,1
293449694,1,GPT-4 Written Plain Styled,1434.0,34,false,ham,Training,2,2,25207,1
416361962,1,GPT-4 Written GPT-4 Styled,805.0,38,false,ham,Training,4,4,14217,1
416361962,1,GPT-4 Written GPT-4 Styled,277.0,37,true,phishing,Training,4,5,11729,1
293449694,1,GPT-4 Written Plain Styled,1090.0,33,false,ham,Training,3,2,20148,1
